id,name,type,description,price,image_url,created_at,updated_at,estimated_duration_minutes,is_active_service,item_category,not_sold_separately
rev-20,SPADINA 桂冠洗,REVENUE,"車身 + 內籠基礎清潔, 綿密泡沫正洗, 補充 雨撥水, 四輪基礎清潔, 系列香氛 | Exterior + Interior basic cleaning, Dense foam wash, KARCHER water repellent refill, Four-wheel basic cleaning, Essentials series fragrance",138,,4/6/2026 0:15,4/27/2026 3:34,67,TRUE,汽車護理 Car Care,FALSE
rev-21,LOMBART 緻瓏洗,REVENUE,"Prewash + 正洗 + Wax 疏水層, 內籠深層清潔, 補充 雨撥水, 四輪深層清潔 + 去鐵粉, LUXE 香薰, 記念照 | Prewash + Wash + Wax hydrophobic layer, Interior deep cleaning, KARCHER water repellent refill, Four-wheel deep cleaning + Iron remover, LUXE fragrance, Commemorative photo",258,,4/5/2026 23:15,4/27/2026 3:34,135,TRUE,汽車護理 Car Care,FALSE
rev-22,AUGUSTA 毛孩友善洗,REVENUE,"LOMBART + 毛孩專屬項目, 毛髮分解®, 寵物污漬生物酶分解去漬, 全車 280˚C 高溫殺菌消毒, 異味根源分解, 人寵友好純天然零殘留配方, 寵物友好專屬香氛 | LOMBART + Pet exclusive items, Hair decomposition®, Pet stain bio-enzyme removal, Whole car 280˚C high-temperature sterilization, Root odor decomposition, Pet-friendly natural zero-residue formula, Pet-friendly exclusive fragrance",438,,4/5/2026 22:15,4/27/2026 3:34,135,TRUE,汽車護理 Car Care,FALSE
rev-23,YORKVILLE 皇桂洗,REVENUE,"深層煥新清潔, 納米水噴霧鍍膜, 韓國納米疏水專用大銀幕鍍膜, 內籠拆凳, 全效殺菌消毒凈化, 去油膜專用雨撥水, 全車玻璃特強去油膜 | Deep renewal cleaning, Nano water spray coating, Korean nano hydrophobic windshield coating, Interior seat removal, Full-effect sterilization and purification, Oil film removal wiper fluid, Full-car glass heavy-duty oil film removal",768,,4/5/2026 21:15,4/27/2026 3:34,280,TRUE,汽車護理 Car Care,FALSE
rev-24,ONTARIO GARDINER 全車玻璃去油膜,REVENUE,"全車玻璃去油膜, 德國工業級拋光技術, 深層淨化玻璃毛孔, 徹底去除路面油垢、水垢, 恢復視線清晰 | Full-car glass oil film removal, German industrial-grade polishing technology, Deep purification of glass pores, Thorough removal of road oil and scale, Restores clear vision",158,,4/5/2026 20:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
rev-25,ONTARIO GYEON 全車玻璃去油膜,REVENUE,"全車玻璃去油膜, 德國工業級拋光技術, 深層淨化玻璃毛孔, 徹底去除路面油垢、水垢, 恢復視線清晰 | Full-car glass oil film removal, German industrial-grade polishing technology, Deep purification of glass pores, Thorough removal of road oil and scale, Restores clear vision",218,,4/5/2026 19:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
rev-26,ONTARIO KOCH CHEMIE 全車玻璃去油膜,REVENUE,"全車玻璃去油膜, 德國工業級拋光技術, 深層淨化玻璃毛孔, 徹底去除路面油垢、水垢, 恢復視線清晰 | Full-car glass oil film removal, German industrial-grade polishing technology, Deep purification of glass pores, Thorough removal of road oil and scale, Restores clear vision",258,,4/5/2026 19:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
rev-27,QUEBEC GARDINER 全車玻璃鍍膜,REVENUE,"全車玻璃鍍膜, 基礎疏水塗層, 維持 3-6 個月撥水效果 | Full-car glass coating, Basic hydrophobic coating, Maintains 3-6 months water repellency",488,,4/5/2026 19:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
rev-28,QUEBEC GYEON 全車玻璃鍍膜,REVENUE,"全車玻璃鍍膜, 旗艦級抗污疏水, 長效保持玻璃平滑 | Full-car glass coating, Flagship anti-fouling hydrophobic, Long-lasting smooth glass surface",558,,4/5/2026 19:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
rev-29,QUEBEC KOCH CHEMIE 全車玻璃鍍膜,REVENUE,"全車玻璃鍍膜, 旗艦級抗污疏水, 長效保持玻璃平滑 | Full-car glass coating, Flagship anti-fouling hydrophobic, Long-lasting smooth glass surface",698,,4/5/2026 19:15,4/27/2026 3:34,135,TRUE,鍍膜 Film/Coating,FALSE
